Tier	Score	Nom	URL	Annee	Region	Tech detectee sur le site	Description
A	32	Koyeb	http://koyeb.com	2019	Île-de-France	pytorch, tensorflow, computer vision, fine-tuning, training data, machine learning, GPU, PhD, labeling, dataset, edge AI, inference, embedding, open-source	The next-generation cloud platform to deploy containers and code functions
A	25	Picsellia	www.picsellia.com	2019	Occitanie	pytorch, tensorflow, deep learning, computer vision, training data, machine learning, annotation, labeling, dataset, inference	Picsellia offre une plateforme collaborative dédiée à la gestion de projets en Computer Vision. Elle centralise le suivi des expériences, l’annotation d’images, la gestion et le déploiement des modèles, en optimisant l’efficacité des équipes IA.
A	23	DataVLab	https://datavlab.ai	2019	Île-de-France	computer vision, fine-tuning, training data, machine learning, annotation, labeling, dataset, transformer, lidar, LiDAR	DataVLab | Semi-Automatic Image Annotation for Machine Learning
A	22	namla	http://namla.cloud	2021	Île-de-France	pytorch, deep learning, computer vision, machine learning, GPU, dataset, edge AI, inference, transformer, open-source	Namla is a Tech startup specializing in Cloud & Edge Computing, IoT (Internet Of Things), and AI (Artificial Intelligence), it was created in 2021 by 3 visionary co-founders with several years of experience in the domain.
A	21	Gencovery	http://gencovery.com	2020	Auvergne-Rhône-Alpes	pytorch, tensorflow, deep learning, machine learning, data scientist, scikit-learn, chercheur, annotation, open-source	Gencovery - Harness AI software & digital organisms in life science
A	20	Graybox	https://www.graybx.com/	2025	Île-de-France	computer vision, fine-tuning, GPU, researcher, dataset, edge AI, transformer, lidar, LiDAR	"AI Model Training, simplified. 
We empower AI Engineers to work faster and smarter, with in-training insights and controls on data & model internals."
A	19	Data Tell Story	https://datatellstory.com/	2020	Île-de-France	deep learning, computer vision, machine learning, data scientist, computer-vision, GPU, PhD, transformer	Répondez facilement et rapidement à des questions complexes grâce à notre IA.
A	17	Covaloris	http://www.covaloris.com/	2020	Île-de-France	deep learning, vision par ordinateur, machine learning, data science, data scientist, PhD, chercheur, transformer, R&D	Covaloris aide les PME françaises à passer de l’IA gadget à l’IA utile. Sa suite permet de tester, évaluer et industrialiser des solutions IA rapidement, à moindre coût, pour créer un avantage compétitif durable.
A	17	VizioSense	https://www.viziosense.com/	2022	Hauts-de-France	computer vision, computer-vision, GPU, researcher, labeling, dataset, edge AI, R&D	VizioSense aide les villes et les entreprises à optimiser l’utilisation des espaces, fluidifier la circulation et prendre des décisions stratégiques pour des environnements plus durables et intelligents.
A	15	crunch dao	https://www.crunchdao.com/	2010	Île-de-France	computer vision, machine learning, data scientist, computer-vision, PhD, researcher, open-source	CrunchDAO is an elite research community that develops alpha-generating insights through distributed ML competitions. The DAO consists of over 5,000 data scientists, quants and machine learning (ML) engineers, including 600 PhDs. DAO members can monetize their talents and expertise by competing in corporate Crunches. In return for building models that produce profitable insights, members can participate in profit sharing in the form of cash and CRUNCH tokens, which give them status, higher earning potential, and access to more lucrative Crunches.
