Catégorie	Startup	Tier	Région	Titre du poste	Lien offre	Tech startup	Site startup
Autre	Ai For Alpha	A	Île-de-France	CEO & Board Member	https://www.aiforalpha.com/careers	machine learning, researcher, R&D, data scientist, data science	https://www.aiforalpha.com
Autre	Ai For Alpha	A	Île-de-France	Comparison with Benchmark	https://www.aiforalpha.com/careers	machine learning, researcher, R&D, data scientist, data science	https://www.aiforalpha.com
Autre	Ai For Alpha	A	Île-de-France	Institutional Investors	https://www.aiforalpha.com/careers	machine learning, researcher, R&D, data scientist, data science	https://www.aiforalpha.com
Autre	Ai For Alpha	A	Île-de-France	Investment Banks	https://www.aiforalpha.com/careers	machine learning, researcher, R&D, data scientist, data science	https://www.aiforalpha.com
Autre	Ai For Alpha	A	Île-de-France	Legal Notices	https://www.aiforalpha.com/legal_notices.html	machine learning, researcher, R&D, data scientist, data science	https://www.aiforalpha.com
Autre	Ai For Alpha	A	Île-de-France	Suggested Replication example	https://www.aiforalpha.com/careers	machine learning, researcher, R&D, data scientist, data science	https://www.aiforalpha.com
Autre	Ai For Alpha	A	Île-de-France	Tactical Decoding	https://www.aiforalpha.com/careers	machine learning, researcher, R&D, data scientist, data science	https://www.aiforalpha.com
Autre	Akur8	B	Île-de-France	Legal Notice	https://www.akur8.com/legal-notice	machine learning	https://www.akur8.com
Autre	Akur8	B	Île-de-France	Support	https://www.akur8.com/reserving/support	machine learning	https://www.akur8.com
Autre	Akur8	B	Île-de-France	SupportGet our support documentation and contact information	https://www.akur8.com/reserving/support	machine learning	https://www.akur8.com
Autre	Alta Ares	A	Île-de-France	Legal	https://www.altaares.com/legal	edge AI, labeling, MLOps	http://altaares.com
Autre	Alta Ares	A	Île-de-France	Legal Information	https://www.altaares.com/legal#legal-info	edge AI, labeling, MLOps	http://altaares.com
Autre	Angelaw	B	Île-de-France	JavaScript must be enabled in order to use Notion.	https://321founded.notion.site/Carri-re-Angelaw-e2c65d328cc244769ae6a18f1df3046e	machine learning, notre modèle	https://www.angelaw.fr/
Autre	Angelaw	B	Île-de-France	Please enable JavaScript to continue.	https://321founded.notion.site/Carri-re-Angelaw-e2c65d328cc244769ae6a18f1df3046e	machine learning, notre modèle	https://www.angelaw.fr/
Autre	Another Brain	A	Île-de-France	Legals	https://anotherbrain.ai/en/legals	deep learning, neural network	http://anotherbrain.ai
Autre	Another Brain	A	Île-de-France	Organic AI	https://anotherbrain.ai/en/organic-ai	deep learning, neural network	http://anotherbrain.ai
Autre	Arcascience	B	Île-de-France	About UsPioneering AI-powered drug safety since 2018.	https://arcascience.ai/about-us	PhD, edge AI, data science	https://www.arcascience.ai/
Autre	Arcascience	B	Île-de-France	Use casePioneering AI-powered drug safety since 2018.	https://arcascience.ai/about-us	PhD, edge AI, data science	https://www.arcascience.ai/
Autre	Arcascience	B	Île-de-France	contact@arcascience.ai	https://mailto:contact@arcascience.ai	PhD, edge AI, data science	https://www.arcascience.ai/
Autre	Arcure	B	Île-de-France	R&D 2026-01-23 Ingénieur Méthodes – Industrialisation CDD 6 mois Grossoeuvre, France En savoir plus	https://blaxtair.com/offres-emplois/ingenieur-methodes-industrialisation	deep learning	https://blaxtair.com
Autre	Avicenna.AI	B	Provence-Alpes-Côte d'Azur	Avicenna.AI on LinkedIn	https://www.linkedin.com/company/avicenna-ai		https://www.Avicenna.Ai
Autre	Avicenna.AI	B	Provence-Alpes-Côte d'Azur	Avicenna.AI,	https://avicenna.ai/company/		https://www.Avicenna.Ai
Autre	Avicenna.AI	B	Provence-Alpes-Côte d'Azur	contact@avicenna.ai	https://mailto:contact@avicenna.Ai		https://www.Avicenna.Ai
