Catégorie	Score	Nom	URL	Année	Niveau IA déclaré	Région	Description	Signaux détectés
A - IA core (techno propre probable)	11	QuantCube Technology	https://www.quant-cube.com	2013	L'IA est indispensable au fonctionnement de mon produit	Île-de-France	QuantCube analyses billions of alternative data points in real time, using artificial intelligence and big data analytics to deliver insights ahead of the market – giving users an edge in their investment strategies. Today we are the global leader in macroeconomic intelligence nowcasting and in pinpointing macro regime change. Our vision is to become the standard point of reference for macroeconomic, sector, corporate and environmental intelligence. By delivering timely, comprehensive and actionable economic insights we empower users within financial institutions, corporates and public bodies to reach their financial performance and sustainability goals. Headquartered in Paris, QuantCube employs a diverse international team of economists, quant analysts and data scientists with expertise in multilingual NLP, deep learning and machine learning techniques. The company’s shareholders include Moody’s and Caisse des Dépôts and its R&amp;D in computer vision has been partially funded by the European Space Agency (ESA) and French government space agency CNES.	+3 machine learning; +3 deep learning; +3 computer vision; +2 nlp
A - IA core (techno propre probable)	10	Deebr	https://www.deebr.co/	2022	L'IA est indispensable au fonctionnement de mon produit	Île-de-France	Nous vous donnons les moyens d'engager vos clients et d'obtenir des résultats grâce à la collecte de données, à la prédiction des ventes et à la construction d'audience. Collecte automatisée : Nous collectons vos données et entrainons nos modèles de machine learning quotidiennement. Prédiction des ventes : Nos algorithmes vous permettent d'avoir un temps d'avance et de connaitre les tendances futures. Ciblage amélioré : Délivrez des campagnes pertinentes en fonction de vos contraintes business.	+3 machine learning; +3 nos modèles; +2 algorithme; +2 prédiction
A - IA core (techno propre probable)	10	Preste	www.preste.ai	2019	L'IA est indispensable au fonctionnement de mon produit	Île-de-France	Nous développons des solutions IA sur mesure pour entreprises en vision par ordinateur, traitement du langage naturel (NLP) et bio-ingénierie. Preste participe à 2 projets R&amp;D pionniers Horizon Europe. Nous sommes un "partenaire préféré" NVIDIA (calcul IA embarqué).	+3 vision par ordinateur; +2 nlp; +3 traitement (du|de) langage naturel; +2 embarqué
A - IA core (techno propre probable)	7	DataVLab	https://datavlab.ai	2019	Mon produit sert au développement ou à la gestion de l'IA	Île-de-France	DataVLab | Semi-Automatic Image Annotation for Machine Learning	+3 machine learning; +2 annotation; +2 catégorie=tooling IA
A - IA core (techno propre probable)	7	Picsellia	www.picsellia.com	2019	Mon produit sert au développement ou à la gestion de l'IA	Occitanie	Picsellia offre une plateforme collaborative dédiée à la gestion de projets en Computer Vision. Elle centralise le suivi des expériences, l’annotation d’images, la gestion et le déploiement des modèles, en optimisant l’efficacité des équipes IA.	+3 computer vision; +2 annotation; +2 catégorie=tooling IA
A - IA core (techno propre probable)	6	azuria	https://www.azuria.earth/	2021	Mon produit sert au développement ou à la gestion de l'IA	Provence-Alpes-Côte d'Azur	AzurIA propose un service sur-mesure d'Intelligence artificielle  (IA) pour système embarqué dans les domaines de l'espace, l'économie bleue et verte, et l'écologie en général. Nous vous accompagnons dans l'annotation de vos données, et concevons une İA sur-mesure optimisée pour l'électronique (FPGA, CPU, GPU, TPU, NPU, DPU, MCU/microcontroleur) la mieux adpatée à votre besoin. Notre IA qualifée  projet DEEPTECH  par BPI France peut traiter avec une faible latence et consommation vos images ou vidéos 2D ou 3D en  haute résolution spatiale  avec une  haute plage de dynamique  (High-Dynamic Range - HDR) et  haute résolution spectrale  (multispectral, hyperspectral). AzurİA est lauréate de l'AMI du programme  Confiance.ai  afin de développer des IA compacts et robustes déployables sur électronique.	+2 annotation; +2 embarqué; +2 catégorie=tooling IA
A - IA core (techno propre probable)	6	Lokimo	www.lokimo.ai	2021	L'IA est indispensable au fonctionnement de mon produit	Île-de-France	Lokimo déploie une IA agentique et prédictive pour l’intelligence territoriale. Immobilier, solaire ou télécoms : nos modèles automatisent la détection de sites stratégiques et l’analyse de faisabilité. Transformez le Big Data en insights actionnables pour trouver votre emplacement idéal.	+3 nos modèles; +2 détection; +2 prédictive; -1 automatise
A - IA core (techno propre probable)	5	Another Brain	http://anotherbrain.ai	2017	Mon produit sert au développement ou à la gestion de l'IA	Île-de-France	An artificial intelligence startup that develops AI in a way far beyond deep learning	+3 deep learning; +2 catégorie=tooling IA
A - IA core (techno propre probable)	5	Xpdeep	https://xpdeep.com	2023	Mon produit sert au développement ou à la gestion de l'IA	Auvergne-Rhône-Alpes	Xpdeep propose le 1er et seul framework de deep learning auto-explicable au monde, pour comprendre les modèles deep, les optimiser en fonction des objectifs métiers, et les expliquer aux utilisateurs, aux régulateurs et autres parties prenantes.	+3 deep learning; +2 catégorie=tooling IA
A - IA core (techno propre probable)	5	AfterData	https://www.afterdata.com/	2017	J'ai intégré l'IA pour améliorer mon produit	Île-de-France	AfterData est la 1ère solution française de lutte contre la criminalité financière : blanchiment, financement du terrorisme et abus de marché qui propose aux acteurs européens de la finance une solution de conformité innovante alliant machine learning et micro-segmentation.	+3 machine learning; +2 segmentation
A - IA core (techno propre probable)	5	Adaptive ML	https://www.adaptive-ml.com/	2023	Mon produit sert au développement ou à la gestion de l'IA	Île-de-France	Adaptive ML develops a platform that enables companies to test, serve, monitor, and perpetually iterate on their large language models by leveraging user interactions and reinforcement learning	+3 reinforcement learning; +2 catégorie=tooling IA
A - IA core (techno propre probable)	5	Avicenna.AI	www.Avicenna.Ai	2018	L'IA est indispensable au fonctionnement de mon produit	Provence-Alpes-Côte d'Azur	Fondée en 2018, Avicenna.AI développe des solutions d’IA pour l’imagerie médicale d’urgence, utilisant le deep learning pour détecter, identifier et quantifier des pathologies critiques sur des images de scanner.	+3 deep learning; +2 imagerie
A - IA core (techno propre probable)	5	INTUITIVE ROBOTS	www.intuitive-robots.com	2014	J'ai intégré l'IA pour améliorer mon produit	Pays de la Loire	Société spécialisé dans la robotique d'inspection industrielle. Intuitive Robots développe des algorithmes permettant aux robots Spot (Boston Dynamics) de détecter des anomalies sur les équipements industriels.	+2 algorithme; +2 robotique; +1 robot
A - IA core (techno propre probable)	5	Seiki	https://www.seiki.co/	2022	L'IA est indispensable au fonctionnement de mon produit	Île-de-France	Au service des marques et des territoires, Seiki restitue et prédit les déplacements des populations grâce l’IA et le Machine Learning. De l’OOH au Retail, nos modèles prédisent les flux et audiences pour piloter vos stratégies. Une approche scientifique accessible en SaaS pour un impact concret.	+3 machine learning; +3 nos modèles; -1 saas
A - IA core (techno propre probable)	5	WHISPEAK	https://whispeak.io/	2020	L'IA est indispensable au fonctionnement de mon produit	Hauts-de-France	Whispeak est le fournisseur de l'identité vocale, basée sur deux piliers : la biométrie vocale et en détection de voix de synthèse.	+2 détection; +3 biométri
A - IA core (techno propre probable)	5	Heptalytics	www.heptalytics.ai	2023	L'IA est indispensable au fonctionnement de mon produit	Île-de-France	Chez Heptalytics, nous renforçons la sécurité des paiements et votre détection de fraude grâce aux technologies de deep learning les plus avancées.	+3 deep learning; +2 détection
A - IA core (techno propre probable)	4	Actionable	www.actionable.live	2024	L'IA est indispensable au fonctionnement de mon produit	Grand Est	IA prédictive de satisfaction client. Elle transforme les données opérationnelles (achats, parcours, support, livraison...) déjà disponibles dans l’entreprise en prédictions individuelles de satisfaction, en identifiant automatiquement les leviers les plus impactants.	+2 prédictive; +2 prédiction
A - IA core (techno propre probable)	4	Graybox	https://www.graybx.com/	2025	Mon produit sert au développement ou à la gestion de l'IA	Île-de-France	AI Model Training, simplified. 
We empower AI Engineers to work faster and smarter, with in-training insights and controls on data &amp; model internals.	+2 training; +2 catégorie=tooling IA
A - IA core (techno propre probable)	4	Pimento.design	www.pimento.design	2022	Mon produit sert au développement ou à la gestion de l'IA	Île-de-France	Pimento est un moteur de création publicitaire pour les équipes performance. Les marques peuvent produire, décliner et faire évoluer leurs créas à grande échelle, dans le respect de leur identité de marque, pour nourrir les algorithmes et maintenir la performance dans la durée.	+2 algorithme; +2 catégorie=tooling IA
A - IA core (techno propre probable)	4	Rhisa	https://www.rhisa.eu/	2021	Mon produit sert au développement ou à la gestion de l'IA	Île-de-France	Rhisa - Enriched Health Datasets	+2 dataset; +2 catégorie=tooling IA
A - IA core (techno propre probable)	4	ELDA TECHNOLOGY	https://eldatechnology.fr/	2023	J'ai intégré l'IA pour améliorer mon produit	Occitanie	ELDA TECHNOLOGY développe une plateforme SIG de traitement des données LiDAR collectées par drone, fournissant des cartographies 3D précises des domaines skiables. Cela permet d’optimiser la gestion de l’eau et de réduire leur impact environnemental.	+1 drone; +3 lidar
A - IA core (techno propre probable)	4	Himydata	www.himydata.com	2018	Mon produit sert au développement ou à la gestion de l'IA	Provence-Alpes-Côte d'Azur	HIMYDATA propose une solution tout-en-un pour collecter, structurer et analyser les données avec l’IA, tous secteurs confondus. Sa plateforme multi-cloud offre une vision claire des opérations, centralise les outils, analyse les données et anticipe les besoins grâce à la prédiction.	+2 prédiction; +2 catégorie=tooling IA
A - IA core (techno propre probable)	4	Bleckwen	www.bleckwen.ai	2018	L'IA est indispensable au fonctionnement de mon produit	Île-de-France	Bleckwen révolutionne la lutte contre la fraude pour les institutions financières grâce à l’IA prédictive et notre assistant d’investigation agentique. Détection en temps réel, alertes qualifiées et ROI &gt; 700% pour un contrôle intelligent et rapide	+2 détection; +2 prédictive
A - IA core (techno propre probable)	4	DecisionBrain	https://decisionbrain.com/	2013	L'IA est indispensable au fonctionnement de mon produit	Île-de-France	DecisionBrain est une entreprise de haute technologie qui combine des techniques d'optimisation, du Machine Learning et d'intelligence artificielle pour créer des solutions d'aide à la décision innovantes et personnalisables basées sur l'IA, qui stimulent la productivité et l'efficacité opérationnelles. Notre clientèle est mondiale avec des implémentations dans plus de 15 pays sur tous les continents.	+3 machine learning; +1 optimisation
A - IA core (techno propre probable)	4	Moon Surgical	https://www.moonsurgical.com/	2019	L'IA est indispensable au fonctionnement de mon produit	Île-de-France	Moon Surgical, formerly kown as MastOR, aims to augment the surgeon with leaps forward in computer vision, haptics, and robotics	+3 computer vision; +1 robot
A - IA core (techno propre probable)	4	Footovision	www.footovision.com	2015	L'IA est indispensable au fonctionnement de mon produit	Île-de-France	Nous utilisons l'IA et la vision par ordinateur pour fournir un service logiciel d'analyse avancée et d'optimisation de la performance à partir de vidéos de matchs.
Nous accompagnons les clubs, les ligues, les médias et les opérateurs de paris directement dans leur workflow.	+3 vision par ordinateur; +1 optimisation
A - IA core (techno propre probable)	3	HD Rain	https://hd-rain.com/	2018	L'IA est indispensable au fonctionnement de mon produit	Île-de-France	Machine learning based high resolution weather measurements and forecasts	+3 machine learning
A - IA core (techno propre probable)	3	Damae Medical	www.damae-medical.com	2014	J'ai intégré l'IA pour améliorer mon produit	Île-de-France	Damae Medical révolutionne l'imagerie cutanée avec deepLive™, un dispositif d’imagerie optique innovant basé sur la technologie LC-OCT. Grâce à l’IA, cette solution non invasive offre une visualisation cellulaire de la peau et permet des biopsies digitales en 3D pour un diagnostic rapide et précis.	+2 imagerie; +1 diagnostic
A - IA core (techno propre probable)	3	inarix	https://www.inarix.com/	2018	L'IA est indispensable au fonctionnement de mon produit	Île-de-France	Notre solution vise à dématérialiser et qualifier en temps réel les flux de production céréaliers en à travers un simple smartphone en s'appuyant sur les dernières avancées en intelligence artificielle et en vision par ordinateur.	+3 vision par ordinateur
A - IA core (techno propre probable)	3	Iktos	www.iktos.ai	2016	L'IA est indispensable au fonctionnement de mon produit	Île-de-France	Iktos est spécialisée dans l’intelligence artificielle et la robotique appliquées à la recherche en chimie médicinale pour la conception de nouveaux médicaments.	+2 robotique; +1 robot
A - IA core (techno propre probable)	3	Akheros	http://www.akheros.fr	2012	L'IA est indispensable au fonctionnement de mon produit	Île-de-France	Akheros develops unsupervised machine learning net-appliances that anticipates, detects and prevents dangerous incongruous behaviors	+3 machine learning
A - IA core (techno propre probable)	3	Arsen Cybersecurity	https://arsen.co	2021	J'ai intégré l'IA pour améliorer mon produit	Île-de-France	A phishing training and awareness solution, leveraging realistic simulation, microlearning and reporting - Human risk managed the right way	+2 training; +1 simulation
A - IA core (techno propre probable)	3	Ikanovision	www.ikanovision.com	2023	L'IA est indispensable au fonctionnement de mon produit	Nouvelle-Aquitaine	IkanoVision est un bureau d'études en innovations spécialiste de l'intelligence artificielle et de la computer vision. Nous développons des solutions sur mesure pour transcrire un savoir métier en une solution logicielle simple, fiable et explicable.	+3 computer vision
A - IA core (techno propre probable)	3	ShareID	www.shareid.ai	2020	L'IA est indispensable au fonctionnement de mon produit	Île-de-France	ShareID est une plateforme modulaire de confiance numérique pour la vérification d’identité et l’authentification forte, conforme eIDAS 2.0. Elle permet un onboarding sécurisé via documents, biométrie, EUDI Wallet, sans stockage de données personnelles et biométriques.	+3 biométri
A - IA core (techno propre probable)	3	My traffic	https://www.mytraffic.io/	2016	L'IA est indispensable au fonctionnement de mon produit	Île-de-France	Revolutionizes commercial real estate with Big Data and Machine Learning by providing easy access, precise and accurate data on any physical location in real-time in Europe	+3 machine learning
A - IA core (techno propre probable)	3	The QA Company	https://www.qanswer.ai/	2019	L'IA est indispensable au fonctionnement de mon produit	Auvergne-Rhône-Alpes	The QA Company is a leading AI startup. We provide world-class enterprise solutions for information access. Create your LLM-based AI Assistant in minutes! Just upload your datasets and get started with your Virtual Assistant in a snap. Our flagship product called QAnswer, is a cutting-edge platform that allows creating AI chat Assistants on top of documents (files like pdf, txt, docx), websites (urls like html) and knowledge graphs (rdf data like .ttl, .nt). It is a software that finds, for a question posed in natural language, directly an answer. QAnswer offers a comprehensive suite of solutions spanning various industries, including HR Management, Project Management, Legal Research, Website Assistance, Technical Documentation, Training and Onboarding, Customer Support, Manufacturing, Pharma Industries and more.	+2 training; +2 dataset; -1 llm
A - IA core (techno propre probable)	3	Redstone Solution	www.redstone-solution.com	2022	J'ai intégré l'IA pour améliorer mon produit	Auvergne-Rhône-Alpes	Matt (Mon Assistant Technique) fluidifie la résolution d’un incident de la détection à la résolution. Grâce à l’optimisation du traitement de la data et à l'IA, Matt permet une transmission intelligente et en temps réel de l’information entre les équipes terrains, les prestataires et les décideurs.	+2 détection; +1 optimisation
A - IA core (techno propre probable)	3	SURGAR	http://www.surgar-surgery.com	2019	L'IA est indispensable au fonctionnement de mon produit	Auvergne-Rhône-Alpes	A real time augmented reality software based on artificial intelligence  and computer vision to increase surgical procedures’ effectiveness and efficiency	+3 computer vision
A - IA core (techno propre probable)	3	tchek	https://www.tchek.ai/	2016	L'IA est indispensable au fonctionnement de mon produit	Provence-Alpes-Côte d'Azur	Tchek streamlines vehicle inspection and remarketing processes for mobility professionals with AI computer vision solutions. Key industry players use our service of Digital Vehicle Inspection for pre-inspection, fleet and used-car inspection.	+3 computer vision
