Startup	Tier	Région	Nb offres	Page carrières	Types de postes	Tech startup
crunch dao	A	Île-de-France	45	https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fluma%2Ecom%2Fhe32nz84&amp;urlhash=ol3U&amp;trk=organization_guest_main-feed-card_feed-article-content	Autre, Data, Dev / Engineering, IA / ML / Data Science, Management / Leadership, Marketing / Growth, Product / Design, Stage / Alternance	machine learning, computer vision, researcher, open-source, data scientist, computer-vision
Lucky cart	A	Île-de-France	33	https://www.luckycart.com/vos-challenges/portfolio-opportunities	Autre, Dev / Engineering, IA / ML / Data Science, Management / Leadership, Product / Design, RH / People, Sales / Business	machine learning, data scientist, data science
Akur8	B	Île-de-France	25	https://www.akur8.com/legal-notice	Autre, Dev / Engineering, IA / ML / Data Science, Management / Leadership, Marketing / Growth, Ops / Infra / QA, Product / Design, RH / People, Sales / Business	machine learning
Ai For Alpha	A	Île-de-France	17	https://www.aiforalpha.com/careers	Autre, IA / ML / Data Science, Management / Leadership, Sales / Business	machine learning, researcher, R&D, data scientist, data science
Qynapse	A	Île-de-France	16	https://qynapse.com/careers/	Autre, Data, Dev / Engineering, IA / ML / Data Science, Management / Leadership	PhD, researcher, labeling, dataset
Sightengine	A	Île-de-France	16	https://sightengine.com/detect-ai-generated-images	Autre, Dev / Engineering, IA / ML / Data Science, Marketing / Growth, Ops / Infra / QA, Product / Design	fine-tuning, proprietary tech
Adaptive ML	A	Île-de-France	16	https://jobs.ashbyhq.com/adaptive-ml/393736af-8236-4635-b027-5a4f64ca9aa2	Dev / Engineering, IA / ML / Data Science, Management / Leadership, Ops / Infra / QA, Product / Design, Sales / Business, Stage / Alternance	reinforcement learning, fine-tuning, inference
Dasia	A	Île-de-France	15	https://www.dasia.ai/nous-rejoindre/	Autre, Dev / Engineering, IA / ML / Data Science, Management / Leadership, Ops / Infra / QA, Product / Design	deep learning, vision par ordinateur
DeepHawk	B	Bretagne	15	https://mailto:jobs@deephawk.ai	Autre, Dev / Engineering, IA / ML / Data Science, Sales / Business	machine learning
One Biosciences	A	Île-de-France	15	https://onebiosciences.fr/legal-terms/	Autre, Dev / Engineering, IA / ML / Data Science, Management / Leadership	machine learning, NLP, PhD
dust	B	Île-de-France	15	https://dust.tt/home/solutions/legal	Autre, Dev / Engineering, Marketing / Growth, Ops / Infra / QA, Product / Design, Sales / Business	model training
Callifly	B	Occitanie	13	https://callifly.com/cas-dusage-recrutement-de-candidats/	Autre, Dev / Engineering, IA / ML / Data Science, Management / Leadership, Product / Design	notre modèle, entraîné
Cogniwave dynamics	A	Île-de-France	13	https://www.cogniwavedynamics.com/agentic-ai/	Autre, IA / ML / Data Science, Management / Leadership, Product / Design, RH / People	machine learning, computer vision, R&D, computer-vision
Datategy	A	Île-de-France	13	https://www.datategy.net/ai-maturity-assessment-for-your-organizations/	Autre, Marketing / Growth, Sales / Business	machine learning, data scientist, data science
BatvoiceAI	A	Île-de-France	12	https://www.batvoice.com/challenges/ventes	Autre, Data, Management / Leadership, Ops / Infra / QA, Sales / Business	NLP, traitement du langage, speech-to-text, reconnaissance vocale
Trezy	B	Île-de-France	12	https://www.trezy.io/product-cashflow	Autre, Dev / Engineering, Management / Leadership, Product / Design, Sales / Business	machine learning, OCR
Footovision	A	Île-de-France	11	https://fr.linkedin.com/jobs/architecte-junior-emplois?trk=organization_guest_linkster_link	Autre, Data, Management / Leadership, Marketing / Growth, Product / Design	computer vision, computer-vision
HrFlow.ai	B	Île-de-France	11	https://hrflow.ai/	Autre, Management / Leadership, Ops / Infra / QA, Product / Design, RH / People, Sales / Business	machine learning, embedding
Kalray	B	Auvergne-Rhône-Alpes	11	https://www.kalrayinc.com/legal-notice	Autre, IA / ML / Data Science, Management / Leadership, Product / Design, Sales / Business	machine learning
datahawk	B	Île-de-France	11	https://datahawk.co/use-cases/advertising-analytics/	Autre, Ops / Infra / QA, Product / Design, Sales / Business	machine learning
Arcascience	B	Île-de-France	10	https://arcascience.ai/about-us	Autre, IA / ML / Data Science, Management / Leadership, Product / Design	PhD, edge AI, data science
HyLight	B	Île-de-France	10	https://hylight.aero/careers	Autre, Dev / Engineering, IA / ML / Data Science, Management / Leadership, Ops / Infra / QA, Product / Design, Sales / Business	lidar
Sipearl	B	Île-de-France	10	https://careers.sipearl.com/jobs/3746403-cdi-senior-ip-subsystem-soc-architect	Autre, Dev / Engineering, Management / Leadership, Product / Design	GPU, inference
WeDiagnostiX	B	Île-de-France	10	https://wediagnostix.ai/	Autre, Dev / Engineering, IA / ML / Data Science, Management / Leadership, Marketing / Growth, Ops / Infra / QA, Stage / Alternance	réseaux de neurones, entraîné
Continuity	B	Île-de-France	10	https://careers.continuity-tech.ai/cookie-policy	Management / Leadership, Marketing / Growth, Product / Design, Sales / Business	machine learning
DecisionBrain	B	Île-de-France	9	https://decisionbrain.com/legal-notice/	Autre, Management / Leadership, Ops / Infra / QA, Product / Design, Sales / Business	machine learning
tchek	A	Provence-Alpes-Côte d'Azur	9	https://www.tchek.ai/fr/technology	Autre, Management / Leadership, Marketing / Growth	deep learning, vision par ordinateur
Illuin Technology	A	Île-de-France	9	https://www.illuin.tech/conseil-services/realisations-tech-sur-mesure/data-engineering/	Data, Dev / Engineering, IA / ML / Data Science, Product / Design, Sales / Business	traitement du langage, R&D, data science, MLOps
Koyeb	A	Île-de-France	9	https://www.koyeb.com/careers	Dev / Engineering, Ops / Infra / QA, Product / Design, Sales / Business	fine-tuning, GPU, inference, embedding
VizioSense	A	Hauts-de-France	9	https://www.viziosense.com/careers	Dev / Engineering, IA / ML / Data Science, Management / Leadership, Marketing / Growth, Ops / Infra / QA, Sales / Business	computer vision, edge AI, labeling, computer-vision
Bondzai	A	Occitanie	8	https://mailto:contact@bondzai.io	Autre, Dev / Engineering, IA / ML / Data Science, Marketing / Growth, Product / Design	machine learning, deep learning, MLOps
